t,J1,J2,J3,J4,J5,J6,GL,GR
0.232000,-0.001265,-0.772018,0.597671,0.298856,-0.387527,0.450436,0.009705,-0.001360
0.236000,-0.001247,-0.778072,0.601663,0.301181,-0.390649,0.453970,0.009837,-0.001409
0.240000,-0.001228,-0.783955,0.605558,0.303451,-0.393694,0.457421,0.009965,-0.001457
0.244000,-0.001210,-0.789670,0.609356,0.305665,-0.396662,0.460789,0.010088,-0.001503
0.248000,-0.001191,-0.795222,0.613061,0.307827,-0.399557,0.464077,0.010208,-0.001548
0.252000,-0.001173,-0.800616,0.616676,0.309936,-0.402379,0.467286,0.010323,-0.001593
0.256000,-0.001155,-0.805855,0.620201,0.311995,-0.405130,0.470420,0.010435,-0.001635
0.260000,-0.001137,-0.810945,0.623641,0.314005,-0.407812,0.473478,0.010543,-0.001677
0.264000,-0.001119,-0.815888,0.626996,0.315966,-0.410428,0.476464,0.010647,-0.001718
0.268000,-0.001102,-0.820690,0.630270,0.317880,-0.412977,0.479379,0.010747,-0.001757
0.272000,-0.001085,-0.825353,0.633464,0.319748,-0.415463,0.482224,0.010843,-0.001796
0.276000,-0.001068,-0.829881,0.636580,0.321572,-0.417886,0.485002,0.010936,-0.001833
0.280000,-0.001052,-0.834280,0.639621,0.323351,-0.420249,0.487713,0.011025,-0.001869
0.284000,-0.001036,-0.838551,0.642587,0.325088,-0.422552,0.490360,0.011111,-0.001904
0.288000,-0.001020,-0.842698,0.645482,0.326783,-0.424797,0.492944,0.011194,-0.001939
0.292000,-0.001005,-0.846726,0.648306,0.328438,-0.426986,0.495467,0.011273,-0.001972
0.296000,-0.000991,-0.850637,0.651062,0.330053,-0.429120,0.497929,0.011349,-0.002004
0.300000,-0.000976,-0.854434,0.653752,0.331629,-0.431201,0.500333,0.011422,-0.002035
0.304000,-0.000963,-0.858121,0.656376,0.333167,-0.433229,0.502679,0.011492,-0.002066
0.308000,-0.000949,-0.861701,0.658937,0.334668,-0.435205,0.504971,0.011559,-0.002095
0.312000,-0.000936,-0.865177,0.661435,0.336133,-0.437133,0.507208,0.011624,-0.002124
0.316000,-0.000924,-0.868551,0.663874,0.337563,-0.439011,0.509392,0.011685,-0.002152
0.320000,-0.000912,-0.871828,0.666253,0.338959,-0.440843,0.511524,0.011744,-0.002179
0.324000,-0.000901,-0.875008,0.668575,0.340321,-0.442628,0.513607,0.011800,-0.002205
0.328000,-0.000890,-0.878096,0.670841,0.341651,-0.444369,0.515640,0.011853,-0.002230
0.332000,-0.000880,-0.881094,0.673052,0.342948,-0.446065,0.517625,0.011905,-0.002255
0.336000,-0.000870,-0.884005,0.675210,0.344215,-0.447719,0.519564,0.011953,-0.002279
0.340000,-0.000860,-0.886830,0.677315,0.345451,-0.449331,0.521457,0.012000,-0.002302
0.344000,-0.000851,-0.889572,0.679370,0.346658,-0.450903,0.523306,0.012044,-0.002324
0.348000,-0.000843,-0.892235,0.681375,0.347835,-0.452435,0.525112,0.012087,-0.002346
0.352000,-0.000835,-0.894819,0.683332,0.348984,-0.453929,0.526875,0.012127,-0.002367
0.356000,-0.000827,-0.897328,0.685242,0.350106,-0.455385,0.528596,0.012167,-0.002387
0.360000,-0.000820,-0.899763,0.687105,0.351201,-0.456804,0.530278,0.012205,-0.002406
0.364000,-0.000813,-0.902127,0.688924,0.352270,-0.458188,0.531920,0.012243,-0.002425
0.368000,-0.000807,-0.904422,0.690698,0.353312,-0.459537,0.533523,0.012279,-0.002444
0.372000,-0.000801,-0.906649,0.692430,0.354330,-0.460851,0.535089,0.012315,-0.002461
0.376000,-0.000796,-0.908811,0.694120,0.355324,-0.462133,0.536619,0.012350,-0.002478
0.380000,-0.000791,-0.910909,0.695769,0.356294,-0.463383,0.538112,0.012385,-0.002495
0.384000,-0.000786,-0.912946,0.697378,0.357240,-0.464601,0.539571,0.012418,-0.002511
0.388000,-0.000782,-0.914923,0.698949,0.358164,-0.465789,0.540995,0.012451,-0.002527
0.392000,-0.000778,-0.916842,0.700481,0.359065,-0.466946,0.542387,0.012484,-0.002541
0.396000,-0.000774,-0.918704,0.701976,0.359945,-0.468075,0.543745,0.012516,-0.002556
0.400000,-0.000771,-0.920512,0.703435,0.360804,-0.469175,0.545072,0.012547,-0.002570
0.404000,-0.000769,-0.922267,0.704859,0.361642,-0.470248,0.546368,0.012578,-0.002583
0.408000,-0.000766,-0.923970,0.706248,0.362460,-0.471293,0.547634,0.012608,-0.002596
0.412000,-0.000764,-0.925624,0.707603,0.363258,-0.472313,0.548870,0.012638,-0.002609
0.416000,-0.000763,-0.927228,0.708926,0.364038,-0.473307,0.550077,0.012667,-0.002621
0.420000,-0.000761,-0.928786,0.710216,0.364798,-0.474275,0.551256,0.012696,-0.002633
0.424000,-0.000760,-0.930297,0.711475,0.365540,-0.475220,0.552408,0.012724,-0.002644
0.428000,-0.000760,-0.931765,0.712704,0.366265,-0.476141,0.553532,0.012752,-0.002655
0.432000,-0.000759,-0.933189,0.713902,0.366972,-0.477039,0.554631,0.012779,-0.002665
0.436000,-0.000759,-0.934572,0.715072,0.367662,-0.477914,0.555703,0.012806,-0.002675
0.440000,-0.000760,-0.935913,0.716213,0.368335,-0.478767,0.556751,0.012833,-0.002685
0.444000,-0.000760,-0.937216,0.717326,0.368993,-0.479599,0.557774,0.012859,-0.002694
0.448000,-0.000761,-0.938480,0.718412,0.369634,-0.480410,0.558773,0.012884,-0.002703
0.452000,-0.000762,-0.939707,0.719472,0.370260,-0.481201,0.559749,0.012910,-0.002712
0.456000,-0.000763,-0.940898,0.720505,0.370872,-0.481972,0.560702,0.012935,-0.002720
0.460000,-0.000765,-0.942054,0.721514,0.371468,-0.482724,0.561633,0.012959,-0.002728
0.464000,-0.000767,-0.943177,0.722498,0.372050,-0.483456,0.562542,0.012983,-0.002736
0.468000,-0.000768,-0.944266,0.723458,0.372618,-0.484171,0.563429,0.013007,-0.002743
0.472000,-0.000771,-0.945323,0.724394,0.373173,-0.484868,0.564296,0.013030,-0.002750
0.476000,-0.000773,-0.946349,0.725307,0.373714,-0.485547,0.565143,0.013053,-0.002757
0.480000,-0.000776,-0.947346,0.726199,0.374242,-0.486209,0.565970,0.013076,-0.002763
0.484000,-0.000778,-0.948313,0.727068,0.374757,-0.486855,0.566778,0.013099,-0.002769
0.488000,-0.000781,-0.949251,0.727916,0.375261,-0.487484,0.567567,0.013121,-0.002775
0.492000,-0.000784,-0.950162,0.728743,0.375752,-0.488098,0.568337,0.013143,-0.002781
0.496000,-0.000787,-0.951047,0.729550,0.376231,-0.488697,0.569089,0.013164,-0.002786
0.500000,-0.000791,-0.951905,0.730337,0.376698,-0.489280,0.569824,0.013185,-0.002791
0.504000,-0.000794,-0.952739,0.731105,0.377155,-0.489849,0.570542,0.013206,-0.002796
0.508000,-0.000798,-0.953548,0.731854,0.377600,-0.490404,0.571242,0.013227,-0.002801
0.512000,-0.000801,-0.954333,0.732584,0.378035,-0.490945,0.571927,0.013247,-0.002805
0.516000,-0.000805,-0.955095,0.733297,0.378459,-0.491473,0.572595,0.013267,-0.002810
0.520000,-0.000809,-0.955835,0.733992,0.378874,-0.491987,0.573248,0.013287,-0.002814
0.524000,-0.000813,-0.956554,0.734670,0.379278,-0.492488,0.573886,0.013307,-0.002817
0.528000,-0.000817,-0.957251,0.735331,0.379672,-0.492978,0.574508,0.013326,-0.002821
0.532000,-0.000821,-0.957928,0.735975,0.380057,-0.493454,0.575116,0.013345,-0.002824
0.536000,-0.000826,-0.958585,0.736604,0.380433,-0.493920,0.575710,0.013364,-0.002828
0.540000,-0.000830,-0.959223,0.737218,0.380800,-0.494373,0.576290,0.013383,-0.002831
0.544000,-0.000834,-0.959843,0.737816,0.381157,-0.494815,0.576857,0.013401,-0.002833
0.548000,-0.000839,-0.960444,0.738399,0.381507,-0.495246,0.577410,0.013419,-0.002836
0.552000,-0.000843,-0.961028,0.738968,0.381848,-0.495667,0.577950,0.013437,-0.002839
0.556000,-0.000848,-0.961594,0.739523,0.382180,-0.496077,0.578478,0.013455,-0.002841
0.560000,-0.000852,-0.962145,0.740065,0.382505,-0.496477,0.578993,0.013472,-0.002843
0.564000,-0.000857,-0.962679,0.740592,0.382822,-0.496867,0.579496,0.013490,-0.002845
0.568000,-0.000862,-0.963197,0.741107,0.383131,-0.497247,0.579987,0.013507,-0.002847
0.572000,-0.000866,-0.963701,0.741609,0.383433,-0.497618,0.580467,0.013524,-0.002849
0.576000,-0.000871,-0.964190,0.742098,0.383727,-0.497980,0.580936,0.013541,-0.002850
0.580000,-0.000876,-0.964664,0.742576,0.384015,-0.498332,0.581394,0.013557,-0.002852
0.584000,-0.000881,-0.965125,0.743041,0.384295,-0.498676,0.581841,0.013574,-0.002853
0.588000,-0.000885,-0.965572,0.743495,0.384569,-0.499012,0.582277,0.013590,-0.002854
0.592000,-0.000890,-0.966006,0.743938,0.384836,-0.499339,0.582704,0.013606,-0.002855
0.596000,-0.000895,-0.966428,0.744369,0.385097,-0.499658,0.583120,0.013622,-0.002856
0.600000,-0.000900,-0.966838,0.744790,0.385352,-0.499969,0.583527,0.013637,-0.002857
0.604000,-0.000904,-0.967235,0.745200,0.385600,-0.500273,0.583924,0.013653,-0.002857
0.608000,-0.000909,-0.967621,0.745601,0.385843,-0.500569,0.584312,0.013668,-0.002858
0.612000,-0.000914,-0.967996,0.745991,0.386079,-0.500858,0.584691,0.013684,-0.002858
0.616000,-0.000919,-0.968360,0.746371,0.386310,-0.501139,0.585061,0.013699,-0.002858
0.620000,-0.000923,-0.968713,0.746742,0.386535,-0.501414,0.585422,0.013714,-0.002859
0.624000,-0.000928,-0.969056,0.747104,0.386755,-0.501682,0.585775,0.013728,-0.002859
0.628000,-0.000933,-0.969389,0.747456,0.386970,-0.501943,0.586119,0.013743,-0.002859
0.632000,-0.000937,-0.969713,0.747800,0.387180,-0.502198,0.586456,0.013757,-0.002859
0.636000,-0.000942,-0.970027,0.748135,0.387385,-0.502446,0.586784,0.013772,-0.002858
0.640000,-0.000947,-0.970332,0.748462,0.387585,-0.502689,0.587105,0.013786,-0.002858
0.644000,-0.000951,-0.970628,0.748781,0.387781,-0.502925,0.587419,0.013799,-0.002857
0.648000,-0.000956,-0.970916,0.749091,0.387973,-0.503156,0.587725,0.013813,-0.002856
0.652000,-0.000961,-0.971195,0.749394,0.388161,-0.503381,0.588024,0.013827,-0.002855
0.656000,-0.000965,-0.971466,0.749689,0.388344,-0.503601,0.588317,0.013840,-0.002854
0.660000,-0.000970,-0.971730,0.749977,0.388524,-0.503815,0.588602,0.013853,-0.002853
0.664000,-0.000975,-0.971986,0.750258,0.388700,-0.504024,0.588881,0.013866,-0.002852
0.668000,-0.000979,-0.972234,0.750531,0.388873,-0.504228,0.589153,0.013879,-0.002851
0.672000,-0.000984,-0.972475,0.750798,0.389042,-0.504427,0.589419,0.013892,-0.002849
0.676000,-0.000988,-0.972710,0.751058,0.389207,-0.504622,0.589678,0.013904,-0.002848
0.680000,-0.000993,-0.972937,0.751311,0.389369,-0.504811,0.589932,0.013917,-0.002846
0.684000,-0.000997,-0.973158,0.751558,0.389528,-0.504996,0.590180,0.013929,-0.002844
0.688000,-0.001002,-0.973373,0.751799,0.389684,-0.505176,0.590422,0.013941,-0.002843
0.692000,-0.001006,-0.973581,0.752034,0.389836,-0.505352,0.590658,0.013954,-0.002841
0.696000,-0.001010,-0.973784,0.752263,0.389986,-0.505523,0.590889,0.013966,-0.002839
0.700000,-0.001014,-0.973980,0.752486,0.390132,-0.505691,0.591114,0.013978,-0.002837
0.704000,-0.001019,-0.974171,0.752703,0.390275,-0.505854,0.591334,0.013990,-0.002835
0.708000,-0.001023,-0.974357,0.752915,0.390416,-0.506013,0.591549,0.014002,-0.002833
0.712000,-0.001027,-0.974537,0.753122,0.390554,-0.506169,0.591759,0.014013,-0.002831
0.716000,-0.001031,-0.974712,0.753323,0.390689,-0.506320,0.591964,0.014025,-0.002829
0.720000,-0.001035,-0.974881,0.753520,0.390822,-0.506468,0.592164,0.014037,-0.002827
0.724000,-0.001038,-0.975046,0.753711,0.390951,-0.506612,0.592360,0.014048,-0.002825
0.728000,-0.001042,-0.975207,0.753897,0.391079,-0.506753,0.592551,0.014060,-0.002823
0.732000,-0.001046,-0.975362,0.754079,0.391203,-0.506890,0.592737,0.014071,-0.002821
0.736000,-0.001050,-0.975514,0.754256,0.391326,-0.507024,0.592919,0.014083,-0.002819
0.740000,-0.001053,-0.975660,0.754429,0.391446,-0.507155,0.593097,0.014094,-0.002817
