t,J1,J2,J3,J4,J5,J6,GL,GR
1.136000,-0.001018,-0.980400,0.760800,0.396551,-0.511951,0.599788,0.015004,-0.002564
1.140000,-0.001015,-0.980408,0.760821,0.396566,-0.511963,0.599805,0.015012,-0.002561
1.144000,-0.001013,-0.980416,0.760841,0.396582,-0.511974,0.599821,0.015019,-0.002559
1.148000,-0.001011,-0.980425,0.760861,0.396597,-0.511986,0.599837,0.015027,-0.002556
1.152000,-0.001008,-0.980433,0.760880,0.396612,-0.511997,0.599852,0.015034,-0.002554
1.156000,-0.001006,-0.980441,0.760899,0.396627,-0.512007,0.599867,0.015042,-0.002551
1.160000,-0.001003,-0.980449,0.760918,0.396641,-0.512018,0.599882,0.015049,-0.002548
1.164000,-0.001001,-0.980456,0.760937,0.396655,-0.512028,0.599897,0.015056,-0.002546
1.168000,-0.000998,-0.980464,0.760955,0.396668,-0.512038,0.599911,0.015064,-0.002543
1.172000,-0.000996,-0.980472,0.760973,0.396682,-0.512048,0.599924,0.015071,-0.002541
1.176000,-0.000993,-0.980479,0.760991,0.396695,-0.512058,0.599938,0.015078,-0.002538
1.180000,-0.000991,-0.980487,0.761008,0.396708,-0.512067,0.599951,0.015086,-0.002536
1.184000,-0.000988,-0.980494,0.761025,0.396720,-0.512076,0.599964,0.015093,-0.002533
1.188000,-0.000986,-0.980502,0.761042,0.396733,-0.512085,0.599976,0.015100,-0.002530
1.192000,-0.000983,-0.980509,0.761059,0.396745,-0.512094,0.599989,0.015108,-0.002528
1.196000,-0.000981,-0.980516,0.761075,0.396757,-0.512103,0.600001,0.015115,-0.002525
1.200000,-0.000978,-0.980523,0.761091,0.396768,-0.512111,0.600012,0.015122,-0.002523
1.204000,0.002774,-0.961086,0.724709,0.379445,-0.488644,0.593533,0.014338,-0.001955
1.208000,0.007288,-0.936852,0.684482,0.360506,-0.466017,0.586721,0.014211,-0.002163
1.212000,0.012303,-0.910676,0.644880,0.341889,-0.444491,0.580028,0.014644,-0.003015
1.216000,0.017721,-0.883430,0.606736,0.323791,-0.423601,0.573483,0.015429,-0.004271
1.220000,0.023446,-0.855502,0.570175,0.306209,-0.403139,0.567082,0.016372,-0.005720
1.224000,0.029392,-0.827125,0.535159,0.289120,-0.383032,0.560822,0.017335,-0.007207
1.228000,0.035488,-0.798467,0.501608,0.272501,-0.363255,0.554702,0.018228,-0.008635
1.232000,0.041675,-0.769664,0.469437,0.256330,-0.343797,0.548720,0.018999,-0.009943
1.236000,0.047907,-0.740826,0.438561,0.240587,-0.324658,0.542872,0.019621,-0.011101
1.240000,0.054148,-0.712050,0.408899,0.225255,-0.305838,0.537157,0.020083,-0.012093
1.244000,0.060364,-0.683419,0.380372,0.210313,-0.287342,0.531572,0.020336,-0.012917
1.248000,0.066537,-0.655003,0.352916,0.195752,-0.269170,0.526115,0.020444,-0.013582
1.252000,0.072652,-0.626859,0.326467,0.181557,-0.251332,0.520784,0.020457,-0.014100
1.256000,0.078695,-0.599040,0.300964,0.167715,-0.233841,0.515575,0.020412,-0.014481
1.260000,0.084652,-0.571588,0.276347,0.154213,-0.216703,0.510488,0.020311,-0.014740
1.264000,0.090515,-0.544544,0.252565,0.141041,-0.199926,0.505518,0.020149,-0.014908
1.268000,0.096277,-0.517939,0.229562,0.128188,-0.183489,0.500665,0.019928,-0.015013
1.272000,0.101931,-0.491804,0.207296,0.115645,-0.167391,0.495925,0.019650,-0.015081
1.276000,0.107473,-0.466161,0.185724,0.103404,-0.151632,0.491296,0.019323,-0.015127
1.280000,0.112897,-0.441027,0.164807,0.091455,-0.136210,0.486776,0.018949,-0.015145
1.284000,0.118199,-0.416419,0.144511,0.079791,-0.121126,0.482362,0.018536,-0.015136
1.288000,0.123377,-0.392346,0.124803,0.068405,-0.106377,0.478053,0.018090,-0.015099
1.292000,0.128428,-0.368817,0.105653,0.057290,-0.091961,0.473846,0.017617,-0.015039
1.296000,0.133353,-0.345835,0.087035,0.046439,-0.077873,0.469738,0.017123,-0.014957
1.300000,0.138152,-0.323404,0.068924,0.035845,-0.064112,0.465729,0.016614,-0.014858
1.304000,0.142825,-0.301522,0.051299,0.025503,-0.050672,0.461815,0.016095,-0.014744
1.308000,0.147373,-0.280189,0.034137,0.015406,-0.037549,0.457994,0.015569,-0.014620
1.312000,0.151798,-0.259401,0.017420,0.005549,-0.024738,0.454264,0.015041,-0.014488
1.316000,0.156101,-0.239151,0.001131,-0.004075,-0.012236,0.450623,0.014514,-0.014351
1.320000,0.160284,-0.219435,-0.014747,-0.013470,-0.000035,0.447070,0.013990,-0.014212
1.324000,0.164349,-0.200244,-0.030227,-0.022643,0.011868,0.443601,0.013472,-0.014071
1.328000,0.168298,-0.181571,-0.045325,-0.031598,0.023480,0.440215,0.012962,-0.013932
1.332000,0.172134,-0.163406,-0.060052,-0.040340,0.034806,0.436911,0.012461,-0.013795
1.336000,0.175858,-0.145740,-0.074421,-0.048876,0.045853,0.433686,0.011970,-0.013662
1.340000,0.179473,-0.128563,-0.088442,-0.057209,0.056625,0.430537,0.011491,-0.013534
1.344000,0.182982,-0.111864,-0.102125,-0.065344,0.067130,0.427465,0.011023,-0.013411
1.348000,0.186388,-0.095633,-0.115480,-0.073287,0.077372,0.424465,0.010569,-0.013293
1.352000,0.189693,-0.079858,-0.128517,-0.081041,0.087358,0.421538,0.010127,-0.013182
1.356000,0.192899,-0.064529,-0.141243,-0.088611,0.097094,0.418681,0.009699,-0.013077
1.360000,0.196010,-0.049634,-0.153666,-0.096002,0.106586,0.415892,0.009283,-0.012979
1.364000,0.199028,-0.035162,-0.165795,-0.103217,0.115839,0.413170,0.008881,-0.012887
1.368000,0.201955,-0.021102,-0.177635,-0.110262,0.124860,0.410513,0.008492,-0.012801
1.372000,0.204795,-0.007443,-0.189195,-0.117139,0.133653,0.407920,0.008116,-0.012722
1.376000,0.207550,0.005826,-0.200481,-0.123854,0.142225,0.405389,0.007753,-0.012649
1.380000,0.210222,0.018717,-0.211499,-0.130409,0.150582,0.402918,0.007402,-0.012582
1.384000,0.212814,0.031239,-0.222255,-0.136810,0.158728,0.400507,0.007063,-0.012521
1.388000,0.215329,0.043404,-0.232755,-0.143058,0.166668,0.398153,0.006735,-0.012465
1.392000,0.217768,0.055221,-0.243005,-0.149159,0.174409,0.395856,0.006419,-0.012414
1.396000,0.220134,0.066701,-0.253011,-0.155115,0.181956,0.393613,0.006114,-0.012368
1.400000,0.222430,0.077854,-0.262777,-0.160931,0.189313,0.391424,0.005819,-0.012326
1.404000,0.224657,0.088689,-0.272309,-0.166608,0.196485,0.389287,0.005534,-0.012288
1.408000,0.226818,0.099215,-0.281612,-0.172152,0.203477,0.387202,0.005259,-0.012254
1.412000,0.228914,0.109442,-0.290691,-0.177564,0.210293,0.385166,0.004993,-0.012224
1.416000,0.230948,0.119379,-0.299552,-0.182848,0.216939,0.383179,0.004737,-0.012197
1.420000,0.232922,0.129035,-0.308197,-0.188008,0.223419,0.381239,0.004488,-0.012173
1.424000,0.234837,0.138417,-0.316634,-0.193046,0.229737,0.379346,0.004248,-0.012152
1.428000,0.236696,0.147534,-0.324865,-0.197964,0.235897,0.377497,0.004015,-0.012133
1.432000,0.238499,0.156394,-0.332895,-0.202767,0.241904,0.375693,0.003791,-0.012117
1.436000,0.240249,0.165005,-0.340729,-0.207456,0.247761,0.373932,0.003573,-0.012102
1.440000,0.241948,0.173373,-0.348372,-0.212034,0.253472,0.372213,0.003362,-0.012090
1.444000,0.243597,0.181507,-0.355827,-0.216504,0.259041,0.370535,0.003158,-0.012079
1.448000,0.245197,0.189414,-0.363098,-0.220869,0.264472,0.368897,0.002959,-0.012069
1.452000,0.246750,0.197099,-0.370190,-0.225131,0.269769,0.367298,0.002767,-0.012061
1.456000,0.248258,0.204569,-0.377107,-0.229292,0.274934,0.365737,0.002581,-0.012054
1.460000,0.249722,0.211832,-0.383852,-0.233355,0.279972,0.364213,0.002400,-0.012048
1.464000,0.251142,0.218893,-0.390430,-0.237322,0.284885,0.362726,0.002225,-0.012043
1.468000,0.252522,0.225758,-0.396844,-0.241196,0.289677,0.361274,0.002055,-0.012038
1.472000,0.253861,0.232433,-0.403098,-0.244978,0.294350,0.359856,0.001889,-0.012034
1.476000,0.255160,0.238923,-0.409196,-0.248671,0.298909,0.358473,0.001729,-0.012031
1.480000,0.256422,0.245234,-0.415141,-0.252277,0.303356,0.357122,0.001573,-0.012029
1.484000,0.257648,0.251371,-0.420936,-0.255799,0.307693,0.355803,0.001421,-0.012026
1.488000,0.258837,0.257339,-0.426587,-0.259237,0.311924,0.354516,0.001273,-0.012024
1.492000,0.259992,0.263143,-0.432094,-0.262594,0.316051,0.353260,0.001130,-0.012023
1.496000,0.261114,0.268788,-0.437463,-0.265872,0.320077,0.352033,0.000990,-0.012021
1.500000,0.262203,0.274278,-0.442696,-0.269073,0.324004,0.350836,0.000854,-0.012020
1.504000,0.263260,0.279619,-0.447797,-0.272198,0.327835,0.349667,0.000722,-0.012019
1.508000,0.264287,0.284813,-0.452768,-0.275250,0.331573,0.348526,0.000593,-0.012018
1.512000,0.265284,0.289865,-0.457613,-0.278230,0.335219,0.347412,0.000468,-0.012017
1.516000,0.266252,0.294780,-0.462335,-0.281140,0.338777,0.346325,0.000346,-0.012016
1.520000,0.267192,0.299562,-0.466936,-0.283981,0.342247,0.345263,0.000227,-0.012015
1.524000,0.268105,0.304213,-0.471420,-0.286755,0.345634,0.344227,0.000112,-0.012014
1.528000,0.268992,0.308738,-0.475790,-0.289464,0.348937,0.343215,-0.000001,-0.012013
1.532000,0.269853,0.313141,-0.480048,-0.292109,0.352161,0.342228,-0.000111,-0.012012
1.536000,0.270689,0.317424,-0.484197,-0.294692,0.355306,0.341264,-0.000218,-0.012011
1.540000,0.271500,0.321591,-0.488239,-0.297214,0.358375,0.340323,-0.000322,-0.012010
1.544000,0.272289,0.325646,-0.492178,-0.299677,0.361369,0.339404,-0.000424,-0.012008
1.548000,0.273055,0.329592,-0.496015,-0.302081,0.364290,0.338507,-0.000523,-0.012007
1.552000,0.273798,0.333431,-0.499754,-0.304429,0.367141,0.337632,-0.000619,-0.012005
1.556000,0.274520,0.337167,-0.503396,-0.306722,0.369923,0.336777,-0.000714,-0.012004
1.560000,0.275222,0.340802,-0.506944,-0.308961,0.372637,0.335943,-0.000805,-0.012002
1.564000,0.275903,0.344339,-0.510401,-0.311147,0.375286,0.335128,-0.000895,-0.012000
1.568000,0.276564,0.347782,-0.513769,-0.313281,0.377870,0.334333,-0.000982,-0.011998
1.572000,0.277207,0.351132,-0.517049,-0.315365,0.380392,0.333557,-0.001067,-0.011996
1.576000,0.277830,0.354392,-0.520245,-0.317401,0.382853,0.332799,-0.001150,-0.011994
1.580000,0.278436,0.357565,-0.523357,-0.319388,0.385255,0.332059,-0.001231,-0.011991
1.584000,0.279025,0.360653,-0.526390,-0.321328,0.387599,0.331337,-0.001310,-0.011989
1.588000,0.279596,0.363658,-0.529343,-0.323223,0.389886,0.330632,-0.001387,-0.011986
1.592000,0.280151,0.366583,-0.532220,-0.325073,0.392118,0.329944,-0.001462,-0.011984
1.596000,0.280690,0.369430,-0.535022,-0.326880,0.394296,0.329272,-0.001535,-0.011981
1.600000,0.281214,0.372200,-0.537751,-0.328644,0.396421,0.328616,-0.001607,-0.011978
1.604000,0.281722,0.374897,-0.540409,-0.330366,0.398496,0.327976,-0.001676,-0.011975
1.608000,0.282216,0.377522,-0.542997,-0.332048,0.400520,0.327351,-0.001744,-0.011972
1.612000,0.282696,0.380077,-0.545519,-0.333690,0.402496,0.326741,-0.001811,-0.011969
1.616000,0.283161,0.382564,-0.547974,-0.335294,0.404424,0.326145,-0.001875,-0.011965
1.620000,0.283614,0.384985,-0.550366,-0.336860,0.406306,0.325563,-0.001938,-0.011962
1.624000,0.284053,0.387342,-0.552695,-0.338389,0.408142,0.324996,-0.002000,-0.011959
1.628000,0.284480,0.389635,-0.554963,-0.339882,0.409935,0.324441,-0.002060,-0.011955
1.632000,0.284894,0.391868,-0.557172,-0.341340,0.411684,0.323900,-0.002118,-0.011951
1.636000,0.285297,0.394042,-0.559323,-0.342763,0.413391,0.323372,-0.002175,-0.011948
1.640000,0.285687,0.396157,-0.561418,-0.344153,0.415057,0.322856,-0.002231,-0.011944
1.644000,0.286067,0.398217,-0.563458,-0.345510,0.416683,0.322353,-0.002285,-0.011940
1.648000,0.286436,0.400222,-0.565445,-0.346835,0.418271,0.321861,-0.002338,-0.011937
1.652000,0.286794,0.402174,-0.567379,-0.348129,0.419820,0.321381,-0.002390,-0.011933
1.656000,0.287141,0.404074,-0.569263,-0.349393,0.421331,0.320912,-0.002441,-0.011929
1.660000,0.287479,0.405924,-0.571098,-0.350627,0.422807,0.320454,-0.002490,-0.011925
1.664000,0.287807,0.407725,-0.572884,-0.351831,0.424247,0.320007,-0.002538,-0.011921
1.668000,0.288125,0.409478,-0.574623,-0.353008,0.425653,0.319569,-0.002585,-0.011917
1.672000,0.288435,0.411184,-0.576317,-0.354156,0.427025,0.319142,-0.002630,-0.011913
1.676000,0.288735,0.412846,-0.577966,-0.355278,0.428364,0.318724,-0.002675,-0.011909
1.680000,0.289027,0.414464,-0.579572,-0.356373,0.429671,0.318316,-0.002718,-0.011905
1.684000,0.289310,0.416039,-0.581136,-0.357442,0.430946,0.317917,-0.002761,-0.011900
1.688000,0.289585,0.417572,-0.582658,-0.358487,0.432192,0.317526,-0.002802,-0.011896
1.692000,0.289852,0.419065,-0.584141,-0.359506,0.433407,0.317145,-0.002843,-0.011892
1.696000,0.290112,0.420518,-0.585584,-0.360502,0.434593,0.316772,-0.002882,-0.011888
1.700000,0.290364,0.421933,-0.586989,-0.361474,0.435751,0.316407,-0.002920,-0.011884
1.704000,0.290609,0.423311,-0.588358,-0.362423,0.436881,0.316050,-0.002958,-0.011880
1.708000,0.290846,0.424652,-0.589690,-0.363350,0.437984,0.315701,-0.002994,-0.011875
1.712000,0.291077,0.425958,-0.590987,-0.364255,0.439060,0.315360,-0.003030,-0.011871
1.716000,0.291301,0.427229,-0.592251,-0.365138,0.440111,0.315026,-0.003065,-0.011867
1.720000,0.291519,0.428467,-0.593480,-0.366001,0.441137,0.314700,-0.003099,-0.011863
1.724000,0.291730,0.429672,-0.594678,-0.366844,0.442138,0.314380,-0.003132,-0.011859
1.728000,0.291935,0.430846,-0.595843,-0.367666,0.443115,0.314068,-0.003164,-0.011854
1.732000,0.292135,0.431989,-0.596978,-0.368470,0.444069,0.313763,-0.003196,-0.011850
1.736000,0.292328,0.433101,-0.598083,-0.369254,0.445000,0.313464,-0.003227,-0.011846
1.740000,0.292516,0.434184,-0.599159,-0.370020,0.445909,0.313171,-0.003257,-0.011842
1.744000,0.292698,0.435239,-0.600206,-0.370768,0.446796,0.312885,-0.003286,-0.011838
1.748000,0.292876,0.436266,-0.601226,-0.371498,0.447662,0.312606,-0.003315,-0.011834
1.752000,0.293048,0.437266,-0.602219,-0.372211,0.448507,0.312332,-0.003342,-0.011830
1.756000,0.293215,0.438239,-0.603185,-0.372907,0.449332,0.312064,-0.003370,-0.011826
1.760000,0.293377,0.439187,-0.604126,-0.373587,0.450137,0.311802,-0.003396,-0.011822
1.764000,0.293535,0.440110,-0.605043,-0.374251,0.450923,0.311546,-0.003422,-0.011818
1.768000,0.293688,0.441009,-0.605934,-0.374899,0.451690,0.311295,-0.003447,-0.011814
1.772000,0.293836,0.441884,-0.606803,-0.375532,0.452439,0.311049,-0.003472,-0.011810
1.776000,0.293981,0.442736,-0.607648,-0.376150,0.453170,0.310809,-0.003496,-0.011806
1.780000,0.294121,0.443566,-0.608471,-0.376753,0.453884,0.310575,-0.003519,-0.011802
1.784000,0.294257,0.444374,-0.609272,-0.377342,0.454580,0.310345,-0.003542,-0.011798
1.788000,0.294389,0.445161,-0.610052,-0.377917,0.455260,0.310120,-0.003565,-0.011794
1.792000,0.294517,0.445927,-0.610812,-0.378479,0.455924,0.309900,-0.003587,-0.011790
1.796000,0.294641,0.446672,-0.611551,-0.379028,0.456571,0.309685,-0.003608,-0.011786
1.800000,0.294762,0.447399,-0.612271,-0.379563,0.457204,0.309474,-0.003629,-0.011782
1.804000,0.294880,0.448106,-0.612971,-0.380086,0.457821,0.309268,-0.003649,-0.011779
1.808000,0.294994,0.448794,-0.613653,-0.380597,0.458423,0.309067,-0.003669,-0.011775
1.812000,0.295104,0.449465,-0.614317,-0.381095,0.459011,0.308869,-0.003688,-0.011771
1.816000,0.295212,0.450118,-0.614964,-0.381582,0.459586,0.308677,-0.003707,-0.011767
1.820000,0.295316,0.450754,-0.615593,-0.382058,0.460146,0.308488,-0.003725,-0.011764
1.824000,0.295417,0.451373,-0.616206,-0.382522,0.460693,0.308303,-0.003743,-0.011760
1.828000,0.295516,0.451975,-0.616802,-0.382975,0.461227,0.308122,-0.003760,-0.011757
1.832000,0.295611,0.452562,-0.617383,-0.383418,0.461748,0.307945,-0.003778,-0.011753
1.836000,0.295704,0.453134,-0.617948,-0.383851,0.462257,0.307772,-0.003794,-0.011750
1.840000,0.295794,0.453691,-0.618498,-0.384274,0.462753,0.307603,-0.003810,-0.011746
1.844000,0.295881,0.454233,-0.619034,-0.384687,0.463238,0.307437,-0.003826,-0.011743
1.848000,0.295966,0.454760,-0.619555,-0.385091,0.463711,0.307275,-0.003842,-0.011739
1.852000,0.296048,0.455274,-0.620062,-0.385486,0.464173,0.307116,-0.003857,-0.011736
1.856000,0.296128,0.455775,-0.620557,-0.385872,0.464624,0.306961,-0.003871,-0.011733
1.860000,0.296206,0.456262,-0.621038,-0.386250,0.465064,0.306809,-0.003886,-0.011730
1.864000,0.296281,0.456737,-0.621506,-0.386619,0.465494,0.306660,-0.003900,-0.011726
1.868000,0.296354,0.457199,-0.621962,-0.386980,0.465913,0.306515,-0.003913,-0.011723
1.872000,0.296425,0.457649,-0.622405,-0.387333,0.466323,0.306372,-0.003927,-0.011720
1.876000,0.296494,0.458087,-0.622837,-0.387679,0.466722,0.306233,-0.003940,-0.011716
1.880000,0.296560,0.458513,-0.623258,-0.388017,0.467113,0.306097,-0.003953,-0.011712
1.884000,0.296625,0.458929,-0.623667,-0.388347,0.467493,0.305963,-0.003965,-0.011708
1.888000,0.296688,0.459333,-0.624065,-0.388670,0.467865,0.305833,-0.003977,-0.011704
1.892000,0.296749,0.459727,-0.624453,-0.388987,0.468228,0.305705,-0.003989,-0.011700
1.896000,0.296808,0.460111,-0.624831,-0.389296,0.468582,0.305580,-0.004000,-0.011695
1.900000,0.296866,0.460484,-0.625198,-0.389599,0.468928,0.305458,-0.004012,-0.011690
1.904000,0.296922,0.460848,-0.625556,-0.389895,0.469265,0.305338,-0.004023,-0.011685
1.908000,0.296976,0.461202,-0.625905,-0.390185,0.469595,0.305221,-0.004033,-0.011680
1.912000,0.297029,0.461547,-0.626244,-0.390469,0.469917,0.305107,-0.004044,-0.011674
1.916000,0.297080,0.461883,-0.626574,-0.390746,0.470231,0.304995,-0.004054,-0.011668
1.920000,0.297129,0.462210,-0.626895,-0.391018,0.470537,0.304885,-0.004064,-0.011662
1.924000,0.297178,0.462529,-0.627208,-0.391283,0.470836,0.304778,-0.004074,-0.011656
1.928000,0.297224,0.462839,-0.627512,-0.391543,0.471128,0.304673,-0.004084,-0.011650
1.932000,0.297270,0.463141,-0.627809,-0.391798,0.471413,0.304570,-0.004093,-0.011643
1.936000,0.297314,0.463435,-0.628097,-0.392047,0.471692,0.304470,-0.004102,-0.011637
1.940000,0.297357,0.463722,-0.628378,-0.392291,0.471963,0.304372,-0.004111,-0.011630
1.944000,0.297398,0.464000,-0.628651,-0.392529,0.472228,0.304276,-0.004120,-0.011623
1.948000,0.297438,0.464272,-0.628917,-0.392762,0.472487,0.304182,-0.004128,-0.011616
1.952000,0.297477,0.464537,-0.629177,-0.392991,0.472740,0.304090,-0.004137,-0.011609
1.956000,0.297515,0.464794,-0.629429,-0.393214,0.472987,0.304000,-0.004145,-0.011601
1.960000,0.297552,0.465045,-0.629674,-0.393433,0.473228,0.303912,-0.004154,-0.011593
1.964000,0.297588,0.465289,-0.629913,-0.393647,0.473463,0.303826,-0.004162,-0.011586
1.968000,0.297623,0.465527,-0.630146,-0.393857,0.473692,0.303742,-0.004171,-0.011578
1.972000,0.297656,0.465758,-0.630372,-0.394062,0.473917,0.303660,-0.004180,-0.011570
1.976000,0.297689,0.465984,-0.630593,-0.394262,0.474136,0.303579,-0.004189,-0.011562
1.980000,0.297720,0.466203,-0.630808,-0.394459,0.474350,0.303501,-0.004198,-0.011553
1.984000,0.297751,0.466417,-0.631017,-0.394651,0.474560,0.303424,-0.004207,-0.011545
1.988000,0.297781,0.466625,-0.631220,-0.394839,0.474765,0.303349,-0.004216,-0.011536
1.992000,0.297810,0.466828,-0.631418,-0.395023,0.474965,0.303275,-0.004226,-0.011528
1.996000,0.297838,0.467025,-0.631611,-0.395204,0.475161,0.303203,-0.004235,-0.011519
2.000000,0.297865,0.467217,-0.631799,-0.395380,0.475353,0.303132,-0.004245,-0.011510
2.004000,0.297892,0.467404,-0.631981,-0.395553,0.475541,0.303064,-0.004255,-0.011501
2.008000,0.297917,0.467586,-0.632159,-0.395722,0.475725,0.302996,-0.004265,-0.011492
2.012000,0.297942,0.467763,-0.632333,-0.395887,0.475905,0.302930,-0.004275,-0.011483
2.016000,0.297966,0.467936,-0.632501,-0.396049,0.476081,0.302866,-0.004285,-0.011473
2.020000,0.297990,0.468104,-0.632665,-0.396207,0.476253,0.302803,-0.004295,-0.011464
2.024000,0.298013,0.468268,-0.632825,-0.396362,0.476422,0.302741,-0.004305,-0.011454
2.028000,0.298035,0.468427,-0.632981,-0.396514,0.476588,0.302681,-0.004315,-0.011445
2.032000,0.298056,0.468583,-0.633132,-0.396662,0.476750,0.302622,-0.004326,-0.011435
2.036000,0.298077,0.468734,-0.633279,-0.396808,0.476908,0.302564,-0.004336,-0.011425
2.040000,0.298097,0.468881,-0.633423,-0.396950,0.477064,0.302508,-0.004346,-0.011415
2.044000,0.298117,0.469025,-0.633562,-0.397089,0.477216,0.302453,-0.004357,-0.011406
2.048000,0.298136,0.469164,-0.633698,-0.397225,0.477365,0.302399,-0.004368,-0.011396
2.052000,0.298154,0.469300,-0.633831,-0.397359,0.477511,0.302346,-0.004378,-0.011386
2.056000,0.298172,0.469433,-0.633960,-0.397489,0.477654,0.302294,-0.004389,-0.011375
2.060000,0.298190,0.469561,-0.634085,-0.397617,0.477795,0.302244,-0.004400,-0.011365
2.064000,0.298207,0.469687,-0.634207,-0.397742,0.477932,0.302195,-0.004411,-0.011355
2.068000,0.298223,0.469809,-0.634326,-0.397864,0.478067,0.302146,-0.004422,-0.011345
2.072000,0.298239,0.469928,-0.634441,-0.397984,0.478199,0.302099,-0.004433,-0.011335
2.076000,0.298254,0.470044,-0.634554,-0.398101,0.478328,0.302053,-0.004444,-0.011324
2.080000,0.298269,0.470157,-0.634663,-0.398216,0.478455,0.302008,-0.004455,-0.011314
2.084000,0.298284,0.470267,-0.634770,-0.398328,0.478579,0.301964,-0.004466,-0.011303
2.088000,0.298298,0.470374,-0.634874,-0.398438,0.478701,0.301920,-0.004477,-0.011293
2.092000,0.298312,0.470479,-0.634975,-0.398546,0.478820,0.301878,-0.004488,-0.011282
2.096000,0.298325,0.470580,-0.635073,-0.398651,0.478937,0.301837,-0.004500,-0.011272
2.100000,0.298338,0.470679,-0.635169,-0.398754,0.479052,0.301796,-0.004511,-0.011261
2.104000,0.298350,0.470776,-0.635262,-0.398855,0.479164,0.301757,-0.004522,-0.011250
2.108000,0.298363,0.470870,-0.635353,-0.398954,0.479274,0.301718,-0.004533,-0.011240
2.112000,0.298374,0.470961,-0.635441,-0.399050,0.479382,0.301680,-0.004545,-0.011229
2.116000,0.298386,0.471050,-0.635527,-0.399145,0.479488,0.301643,-0.004556,-0.011218
2.120000,0.298397,0.471137,-0.635610,-0.399237,0.479592,0.301607,-0.004568,-0.011208
2.124000,0.298408,0.471221,-0.635692,-0.399328,0.479693,0.301572,-0.004579,-0.011197
2.128000,0.298418,0.471303,-0.635771,-0.399416,0.479793,0.301537,-0.004591,-0.011186
2.132000,0.298428,0.471383,-0.635848,-0.399503,0.479890,0.301503,-0.004602,-0.011175
2.136000,0.298438,0.471461,-0.635923,-0.399588,0.479986,0.301470,-0.004614,-0.011164
2.140000,0.298448,0.471537,-0.635996,-0.399671,0.480080,0.301438,-0.004625,-0.011153
2.144000,0.298457,0.471611,-0.636067,-0.399752,0.480172,0.301406,-0.004637,-0.011142
2.148000,0.298466,0.471683,-0.636136,-0.399832,0.480262,0.301375,-0.004648,-0.011131
2.152000,0.298475,0.471753,-0.636204,-0.399909,0.480350,0.301345,-0.004660,-0.011120
2.156000,0.298483,0.471822,-0.636269,-0.399986,0.480437,0.301315,-0.004671,-0.011109
2.160000,0.298492,0.471888,-0.636333,-0.400060,0.480522,0.301286,-0.004683,-0.011098
2.164000,0.298500,0.471953,-0.636395,-0.400133,0.480605,0.301258,-0.004695,-0.011087
2.168000,0.298507,0.472016,-0.636456,-0.400204,0.480687,0.301230,-0.004706,-0.011076
2.172000,0.298515,0.472078,-0.636514,-0.400274,0.480767,0.301203,-0.004718,-0.011065
2.176000,0.298522,0.472138,-0.636572,-0.400343,0.480845,0.301177,-0.004730,-0.011054
2.180000,0.298529,0.472196,-0.636627,-0.400410,0.480922,0.301151,-0.004741,-0.011043
2.184000,0.298536,0.472253,-0.636682,-0.400475,0.480997,0.301125,-0.004753,-0.011032
2.188000,0.298543,0.472308,-0.636735,-0.400539,0.481071,0.301101,-0.004765,-0.011021
2.192000,0.298549,0.472362,-0.636786,-0.400602,0.481144,0.301076,-0.004776,-0.011010
2.196000,0.298556,0.472414,-0.636836,-0.400663,0.481215,0.301052,-0.004788,-0.010999
2.200000,0.298562,0.472465,-0.636885,-0.400724,0.481284,0.301029,-0.004800,-0.010988
2.204000,0.298568,0.472515,-0.636932,-0.400782,0.481352,0.301007,-0.004812,-0.010977
2.208000,0.298573,0.472563,-0.636978,-0.400840,0.481419,0.300984,-0.004823,-0.010966
2.212000,0.298579,0.472611,-0.637023,-0.400896,0.481485,0.300963,-0.004835,-0.010954
2.216000,0.298584,0.472657,-0.637067,-0.400951,0.481549,0.300941,-0.004847,-0.010943
2.220000,0.298589,0.472701,-0.637109,-0.401005,0.481612,0.300920,-0.004858,-0.010932
2.224000,0.298594,0.472745,-0.637151,-0.401058,0.481674,0.300900,-0.004870,-0.010921
2.228000,0.298599,0.472787,-0.637191,-0.401110,0.481734,0.300880,-0.004882,-0.010910
2.232000,0.298604,0.472829,-0.637230,-0.401160,0.481794,0.300861,-0.004894,-0.010899
2.236000,0.298609,0.472869,-0.637268,-0.401210,0.481852,0.300842,-0.004905,-0.010888
2.240000,0.298613,0.472908,-0.637305,-0.401258,0.481909,0.300823,-0.004917,-0.010876
2.244000,0.298618,0.472946,-0.637342,-0.401306,0.481965,0.300805,-0.004929,-0.010865
2.248000,0.298622,0.472984,-0.637377,-0.401352,0.482020,0.300787,-0.004941,-0.010854
2.252000,0.298626,0.473020,-0.637411,-0.401398,0.482074,0.300770,-0.004952,-0.010843
2.256000,0.298630,0.473055,-0.637444,-0.401442,0.482126,0.300752,-0.004964,-0.010832
2.260000,0.298634,0.473089,-0.637477,-0.401485,0.482178,0.300736,-0.004976,-0.010821
2.264000,0.298637,0.473123,-0.637509,-0.401528,0.482229,0.300719,-0.004987,-0.010810
2.268000,0.298641,0.473156,-0.637540,-0.401570,0.482278,0.300703,-0.004999,-0.010799
2.272000,0.298645,0.473187,-0.637570,-0.401610,0.482327,0.300688,-0.005011,-0.010787
2.276000,0.298648,0.473219,-0.637600,-0.401650,0.482375,0.300672,-0.005022,-0.010776
